model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
5,StepLength,omit_7_31,Speed,0.961670787265,0.0102706232933,0.941540735511,0.981800839019,0,246,0.908629759754,55.2989628317,-98.5979256635,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,Speed2,-0.0411563171804,0.00983764927572,-0.0604377554534,-0.0218748789075,2.8698942221e-05,246,0.908629759754,55.2989628317,-98.5979256635,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,Intercept,0.127015328413,0.0608560271041,0.00773970704631,0.246290949779,0.0368750654301,246,0.907078667942,47.0509434135,-82.101886827,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,AgeGroup,-0.260400574337,0.0871361413722,-0.431184273178,-0.0896168754953,0.00280411405481,246,0.907078667942,47.0509434135,-82.101886827,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,Speed,0.947650966883,0.0149715936243,0.918307182588,0.976994751178,0,246,0.907078667942,47.0509434135,-82.101886827,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,AgeGroup:Speed,0.013995619669,0.0211071530313,-0.0273736400885,0.0553648794265,0.507282697926,246,0.907078667942,47.0509434135,-82.101886827,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Intercept,0.168321623829,0.0618203405151,0.0471559829074,0.289487264751,0.00647401044177,246,0.9082943606,55.7784575971,-97.5569151942,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,AgeGroup,-0.259374290755,0.0874112561489,-0.43069720465,-0.0880513768598,0.00300440294881,246,0.9082943606,55.7784575971,-97.5569151942,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Speed,0.951774601517,0.0144126817488,0.923526264369,0.980022938666,0,246,0.9082943606,55.7784575971,-97.5569151942,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,AgeGroup:Speed,0.0198710832075,0.0203129812264,-0.0199416284149,0.05968379483,0.327952899892,246,0.9082943606,55.7784575971,-97.5569151942,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Speed2,-0.0417909726023,0.00985424004507,-0.0611049281856,-0.0224770170189,2.22612629465e-05,246,0.9082943606,55.7784575971,-97.5569151942,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,omit_7_31,Intercept,-0.174034291353,0.0929914833402,-0.356294249568,0.00822566686315,0.0612747223855,246,0.0372232259451,-341.484733003,690.969466005,Cadence ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,omit_7_31,AgeGroup,0.381630397224,0.133143541887,0.120673850351,0.642586944097,0.00415290005349,246,0.0372232259451,-341.484733003,690.969466005,Cadence ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,omit_7_31,Intercept,-0.00195072069426,0.0547134659549,-0.109187143435,0.105285702047,0.971558734044,246,0.837853739426,-27.9152415707,63.8304831414,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,omit_7_31,Speed,0.898212124887,0.0144461218153,0.869898246413,0.926526003361,0,246,0.837853739426,-27.9152415707,63.8304831414,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,omit_7_31,Intercept,-0.150655813157,0.0695164681366,-0.286905587037,-0.014406039277,0.0302199106448,246,0.86158784653,-23.4959608575,56.991921715,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,omit_7_31,AgeGroup,0.304860936773,0.0995386355266,0.109768796071,0.499953077476,0.00219320701189,246,0.86158784653,-23.4959608575,56.991921715,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,omit_7_31,Speed,0.897729788094,0.0144363349048,0.869435091611,0.926024484576,0,246,0.86158784653,-23.4959608575,56.991921715,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,omit_7_31,Intercept,0.127330289166,0.055628626293,0.0183001851225,0.23636039321,0.0220831507846,246,0.854946681773,26.6916037369,-43.3832074738,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,omit_7_31,Speed,0.91985642907,0.0112657462522,0.897775972157,0.941936885984,0,246,0.854946681773,26.6916037369,-43.3832074738,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,omit_7_31,Speed2,-0.128846274179,0.0107867761868,-0.149987967015,-0.107704581344,6.9086365791e-33,246,0.854946681773,26.6916037369,-43.3832074738,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,omit_7_31,Intercept,-0.0229638905939,0.0699127580066,-0.159990378347,0.114062597159,0.742560141015,246,0.879159100539,31.2512613876,-50.5025227752,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
