model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
CadenceHof_sex,H2A_I,full,Female,-0.374658879833,0.279020445697,-0.939031001848,0.189713242182,0.187111454598,43,0.277230318324,-53.5281608972,115.056321794,H2A_I ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_I,full,Intercept,-0.223127143118,0.22439896639,-0.677016894901,0.230762608664,0.326190657401,43,0.209252918594,-55.4607434174,118.921486835,H2A_I ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_I,full,AgeGroup,0.79945147855,0.288100260036,0.216713698514,1.38218925859,0.0084333705833,43,0.209252918594,-55.4607434174,118.921486835,H2A_I ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_I,full,StepLengthHof,-0.0390178528705,0.159419341432,-0.361473907263,0.283438201522,0.807933366382,43,0.209252918594,-55.4607434174,118.921486835,H2A_I ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_I,full,Female,-0.423177287968,0.318968039996,-1.06835104625,0.221996470313,0.19232173815,43,0.209252918594,-55.4607434174,118.921486835,H2A_I ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
cadence_sex_classical,H2A_W,full,Intercept,0.0163848470985,0.241350879976,-0.471793386372,0.504563080569,0.946221596612,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_W,full,AgeGroup,0.249820723479,0.304312773579,-0.365709960489,0.865351407448,0.416673802901,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_W,full,Cadence,0.364599745529,0.159452488725,0.0420766444081,0.687122846649,0.0277329566789,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_W,full,Female,-0.350046095194,0.305952339544,-0.968893114354,0.268800923965,0.259547829562,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_W,full,Intercept,0.0163848470985,0.235890022083,-0.460747758696,0.493517452893,0.944978654483,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_W,full,AgeGroup,0.249820723479,0.333528943725,-0.424805242563,0.924446689521,0.458337662695,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_W,full,Cadence,0.364599745529,0.15367513547,0.053762444377,0.67543704668,0.0226938827243,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_W,full,Female,-0.350046095194,0.297742406335,-0.952286956998,0.252194766609,0.246855081448,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_W,full,Intercept,-0.0417424075726,0.296338449196,-0.641648234668,0.558163419523,0.888724148662,43,0.174176227616,-56.3939128382,122.787825676,H2A_W ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_W,full,AgeGroup,0.286194444773,0.325262139302,-0.372264331771,0.944653221317,0.384450465031,43,0.174176227616,-56.3939128382,122.787825676,H2A_W ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_W,full,Cadence,0.386358227265,0.173108457168,0.0359184768498,0.73679797768,0.0315963652355,43,0.174176227616,-56.3939128382,122.787825676,H2A_W ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
